1.000000000000000000e+00,4.517236734693869105e-01,3.858741836734684849e-01
2.000000000000000000e+00,3.455334375000000402e-01,4.852259375000009256e-01
3.000000000000000000e+00,2.957639361702124603e-01,5.351540425531909895e-01
4.000000000000000000e+00,2.633764130434781969e-01,5.668207608695657873e-01
5.000000000000000000e+00,2.422196666666665554e-01,5.862701111111129348e-01
6.000000000000000000e+00,2.250917045454549625e-01,6.017426136363640543e-01
7.000000000000000000e+00,2.112226744186042338e-01,6.144560465116287729e-01
8.000000000000000000e+00,1.994371428571427851e-01,6.249560714285709029e-01
9.000000000000000000e+00,1.888437804878043691e-01,6.370748780487806018e-01
1.000000000000000000e+01,1.800799999999999068e-01,6.484513750000000520e-01
1.100000000000000000e+01,1.706520512820515201e-01,6.604747435897435626e-01
1.200000000000000000e+01,1.631850000000001633e-01,6.713567105263168466e-01
1.300000000000000000e+01,1.555901351351351714e-01,6.821729729729725245e-01
1.400000000000000000e+01,1.484359722222222677e-01,6.938461111111123847e-01
1.500000000000000000e+01,1.403300000000000103e-01,7.065062857142851982e-01
1.600000000000000000e+01,1.337598529411762327e-01,7.170795588235311380e-01
1.700000000000000000e+01,1.277284848484847579e-01,7.308653030303013942e-01
1.800000000000000000e+01,1.201573437499999369e-01,7.435698437500001257e-01
1.900000000000000000e+01,1.145196774193548844e-01,7.584966129032281179e-01
2.000000000000000000e+01,1.110826666666668294e-01,7.607531666666670356e-01
2.100000000000000000e+01,1.082417241379309975e-01,7.633136206896549147e-01
2.200000000000000000e+01,1.051176785714283274e-01,7.650507142857135845e-01
2.300000000000000000e+01,1.025992592592592095e-01,7.666574074074083978e-01
2.400000000000000000e+01,1.008678846153845121e-01,7.680957692307690543e-01
2.500000000000000000e+01,9.905979999999989238e-02,7.690106000000002107e-01
2.600000000000000000e+01,9.634083333333326449e-02,7.707552083333325532e-01
2.700000000000000000e+01,9.388630434782598011e-02,7.715163043478263649e-01
2.800000000000000000e+01,9.060477272727260334e-02,7.740081818181809847e-01
2.900000000000000000e+01,8.755833333333316870e-02,7.759157142857129319e-01
3.000000000000000000e+01,8.498249999999991922e-02,7.786507499999996140e-01
3.100000000000000000e+01,8.208631578947372942e-02,7.815444736842098727e-01
3.200000000000000000e+01,7.903749999999991338e-02,7.854066666666663643e-01
3.300000000000000000e+01,7.632941176470584010e-02,7.899935294117639284e-01
3.400000000000000000e+01,7.254499999999999837e-02,7.944975000000010779e-01
3.500000000000000000e+01,6.931033333333339042e-02,7.992423333333332769e-01
3.600000000000000000e+01,6.606464285714289120e-02,8.042882142857141758e-01
3.700000000000000000e+01,6.184230769230763397e-02,8.099357692307692647e-01
3.800000000000000000e+01,5.852333333333343407e-02,8.140991666666662629e-01
3.900000000000000000e+01,5.537272727272729567e-02,8.186809090909082931e-01
4.000000000000000000e+01,5.235900000000005827e-02,8.255234999999994105e-01
4.100000000000000000e+01,4.866388888888892317e-02,8.314638888888897794e-01
4.200000000000000000e+01,4.760687499999996519e-02,8.349600000000004796e-01
4.300000000000000000e+01,4.594999999999999085e-02,8.392778571428572976e-01
4.400000000000000000e+01,4.448416666666667879e-02,8.472324999999990558e-01
4.500000000000000000e+01,4.354399999999998550e-02,8.528979999999998229e-01
4.600000000000000000e+01,4.237749999999999850e-02,8.604325000000005996e-01
4.700000000000000000e+01,4.064666666666667816e-02,8.645833333333337034e-01
4.800000000000000000e+01,3.850750000000000700e-02,8.671475000000004041e-01
4.900000000000000000e+01,3.569999999999998869e-02,8.876300000000000301e-01
